"transaction_id","year","month","day","customer_name","city","country","amount","payment_method","status"
"T30000010",2024,10,13,"Ewa Nowak","Gdańsk","ES",667.22,"cash","declined"
"T30000011",2025,3,12,"Jan Mazur","Poznań","ES",4331.99,"blik","approved"
"T30000012",2024,11,12,"Kasia Wisniewski","Kraków","DE",5817.88,"card","declined"
"T30000013",2025,1,21,"Anna Nowak","Wrocław","IT",6101.5,"card","declined"
"T30000014",2025,7,17,"Tomasz Wisniewski","Wrocław","DE",7380.05,"transfer","pending"
"T30000015",2024,9,26,"Jan Wisniewski","Warszawa","IT",1415.09,"card","approved"
"T30000016",2024,4,4,"Tomasz Mazur","Gdańsk","ES",7661.49,"cash","approved"
"T30000017",2025,8,2,"Jan Wojcik","Kraków","PL",7659.7,"transfer","approved"
"T30000018",2025,6,26,"Kasia Mazur","Warszawa","IT",4156.17,"card","approved"
"T30000019",2025,11,2,"Tomasz Kowalski","Gdańsk","IT",3229.88,"cash","pending"
"T30000020",2023,10,30,"Adam Wojcik","Wrocław","ES",1031.98,"blik","approved"
"T30000021",2023,5,16,"Jan Kaczmarek","Gdańsk","ES",3193.32,"cash","pending"
"T30000022",2025,11,3,"Kasia Kowalski","Kraków","ES",3500.85,"card","approved"
"T30000023",2025,7,20,"Anna Kaczmarek","Wrocław","DE",1670.45,"transfer","approved"
"T30000024",2025,1,20,"Anna Kowalski","Gdańsk","DE",2933.69,"transfer","approved"
"T30000025",2023,7,29,"Piotr Kowalski","Poznań","IT",9753.69,"blik","declined"
"T30000026",2024,4,5,"Ewa Kowalski","Kraków","ES",2544.25,"card","declined"
"T30000027",2025,8,28,"Anna Mazur","Gdańsk","PL",910.69,"transfer","approved"
"T30000028",2023,12,14,"Jan Kaczmarek","Gdańsk","FR",601.64,"cash","declined"
"T30000029",2023,9,29,"Maria Mazur","Warszawa","DE",5142.98,"cash","declined"
"T30000030",2024,7,23,"Anna Kowalski","Kraków","ES",4509.35,"blik","pending"
"T30000031",2023,11,16,"Adam Wisniewski","Warszawa","DE",7877.4,"blik","approved"
"T30000032",2023,8,6,"Ewa Kowalski","Warszawa","IT",1840.51,"card","approved"
"T30000033",2025,5,6,"Adam Nowak","Warszawa","FR",3341.11,"cash","approved"
"T30000034",2024,9,5,"Ewa Wojcik","Wrocław","PL",9799.99,"card","approved"
"T30000035",2025,8,2,"Piotr Mazur","Warszawa","FR",4593.45,"card","approved"
"T30000036",2023,1,31,"Piotr Kaczmarek","Warszawa","IT",2630.94,"transfer","pending"
"T30000037",2024,9,5,"Anna Mazur","Warszawa","IT",6574.32,"cash","approved"
"T30000038",2024,10,17,"Anna Nowak","Warszawa","IT",4570.09,"cash","approved"
"T30000039",2025,2,8,"Maria Kowalski","Gdańsk","ES",4154.36,"transfer","approved"
"T30000040",2025,6,21,"Tomasz Nowak","Wrocław","PL",2020.4,"card","approved"
"T30000041",2024,7,22,"Tomasz Wisniewski","Poznań","PL",3528.98,"blik","approved"
"T30000042",2024,4,4,"Jan Wisniewski","Gdańsk","DE",9788.67,"card","declined"
"T30000043",2023,8,20,"Maria Kaczmarek","Poznań","DE",4501.49,"cash","approved"
"T30000044",2024,6,23,"Tomasz Wojcik","Wrocław","IT",3403.38,"blik","declined"
"T30000045",2025,3,13,"Jan Mazur","Warszawa","PL",2955.03,"card","declined"
"T30000046",2024,8,23,"Kasia Wisniewski","Gdańsk","FR",4203.95,"card","approved"
"T30000047",2023,7,30,"Adam Wisniewski","Warszawa","DE",7631.76,"card","approved"
"T30000048",2024,8,22,"Tomasz Wojcik","Warszawa","FR",5462.19,"cash","approved"
"T30000049",2025,2,4,"Jan Nowak","Kraków","PL",1172.77,"blik","approved"
"T30000050",2025,1,10,"Tomasz Wojcik","Gdańsk","PL",1708.43,"cash","approved"
"T30000051",2023,12,19,"Ewa Kowalski","Kraków","PL",4928.89,"cash","declined"
"T30000052",2023,12,4,"Jan Nowak","Kraków","PL",2180.75,"card","pending"
"T30000053",2024,10,19,"Adam Kowalski","Kraków","DE",7760.3,"transfer","approved"
"T30000054",2023,2,21,"Adam Wisniewski","Wrocław","PL",3689.8,"transfer","declined"
"T30000055",2023,8,20,"Maria Kowalski","Wrocław","IT",8216.42,"blik","approved"
"T30000056",2023,3,2,"Kasia Wisniewski","Kraków","DE",5760.29,"cash","approved"
"T30000057",2024,10,17,"Piotr Kowalski","Wrocław","IT",8193.7,"transfer","approved"
"T30000058",2025,8,24,"Kasia Kaczmarek","Kraków","PL",7192.86,"cash","declined"
"T30000059",2025,8,16,"Maria Mazur","Gdańsk","DE",6549.94,"card","declined"
"T30000060",2024,3,10,"Adam Kaczmarek","Poznań","ES",2455.08,"card","approved"
"T30000061",2023,3,8,"Jan Wisniewski","Gdańsk","PL",7841.19,"transfer","pending"
"T30000062",2023,3,24,"Maria Nowak","Gdańsk","ES",8719.91,"transfer","approved"
"T30000063",2024,3,14,"Maria Nowak","Kraków","IT",7183.67,"blik","declined"
"T30000064",2023,6,19,"Piotr Mazur","Warszawa","ES",5024.36,"blik","approved"
"T30000065",2023,2,7,"Adam Nowak","Warszawa","ES",8192.44,"card","declined"
"T30000066",2025,4,19,"Piotr Wojcik","Gdańsk","PL",5987.13,"cash","declined"
"T30000067",2023,11,1,"Anna Kaczmarek","Kraków","FR",5366.4,"card","declined"
"T30000068",2023,1,23,"Kasia Kaczmarek","Wrocław","IT",7498.33,"transfer","pending"
"T30000069",2023,2,22,"Jan Kowalski","Warszawa","ES",6182.55,"card","approved"
"T30000070",2023,6,4,"Tomasz Wisniewski","Kraków","IT",3769.09,"transfer","approved"
"T30000071",2024,12,4,"Jan Wisniewski","Warszawa","IT",7580.05,"blik","pending"
"T30000072",2023,7,4,"Jan Mazur","Warszawa","ES",5876.29,"cash","approved"
"T30000073",2023,7,14,"Piotr Kowalski","Poznań","DE",877.47,"transfer","pending"
"T30000074",2025,10,27,"Tomasz Nowak","Poznań","IT",493.76,"cash","declined"
"T30000075",2025,7,8,"Ewa Mazur","Wrocław","PL",9711.45,"card","pending"
"T30000076",2023,10,19,"Tomasz Nowak","Poznań","IT",5981.81,"card","pending"
"T30000077",2024,3,23,"Tomasz Nowak","Wrocław","ES",8029.57,"card","declined"
